,tweet#,user,tweet,cleanTweet,compound,positive,negative,neutral,cleancompound,cleanpositive,cleannegative,cleanneutral
0,0,@BBCWorld,Utah trooper hit by skidding car https://t.co/sgr0ZHWwX3,Utah trooper hit by skidding car,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,@BBCWorld,Kim in Beijing: Why Xi's still the one he needs to see https://t.co/PefHB8UprZ,Kim in Beijing Why Xi s still the one he needs to see,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,2,@BBCWorld,Trèbes attack: Paris ceremony for hero policeman Arnaud Beltrame https://t.co/6naeoAd4HT,Tr bes attack Paris ceremony for hero policeman Arnaud Beltrame,0.128,0.245,0.211,0.544,0.128,0.245,0.211,0.544
3,3,@BBCWorld,"Australia's indigenous languages have one source, study says https://t.co/7QoMFrTeBU",Australia s indigenous languages have one source study says,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,4,@BBCWorld,Tesla and Nvidia shares fall amid driverless car doubts https://t.co/ZvAPiF6wgd,Tesla and Nvidia shares fall amid driverless car doubts,0.0,0.177,0.177,0.645,0.0,0.193,0.193,0.614
5,5,@BBCWorld,Canada teen wins $1000 a week for life on 18th birthday https://t.co/NeTuIPmXby,Canada teen wins 1000 a week for life on 18th birthday,0.5719,0.27,0.0,0.73,0.5719,0.291,0.0,0.709
6,6,@BBCWorld,Alton Sterling: No charges in 2016 fatal police shooting https://t.co/ahSn5LVRLc,Alton Sterling No charges in 2016 fatal police shooting,-0.7783,0.0,0.527,0.473,-0.7783,0.0,0.565,0.435
7,7,@BBCWorld,N Korea's Kim Jong-un visits China's Xi https://t.co/SEc2LT35DA,N Korea s Kim Jong un visits China s Xi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,8,@BBCWorld,"RT @BBCNewsAsia: Definitely not something you see every day. 🐘

A video of a 'smoking' wild elephant in India is baffling scientists and wi…",RT Definitely not something you see every day A video of a smoking wild elephant in India is baffling scientists and wi,0.4019,0.119,0.0,0.881,0.4019,0.124,0.0,0.876
9,9,@BBCWorld,"RT @BBCNewsAsia: Vietnamese singer and activist Mai Khoi has been detained in Hanoi on her return home from a European tour.

She was held…",RT Vietnamese singer and activist Mai Khoi has been detained in Hanoi on her return home from a European tour She was held,-0.4019,0.0,0.109,0.891,-0.4019,0.0,0.114,0.886
10,10,@BBCWorld,Letter from Africa: Will age be a factor in Zimbabwe's poll? https://t.co/4UunbFffbZ,Letter from Africa Will age be a factor in Zimbabwe s poll,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,11,@BBCWorld,The world's toughest place to study? https://t.co/JdkkQo8XtQ,The world s toughest place to study,-0.0772,0.0,0.178,0.822,-0.0772,0.0,0.206,0.794
12,12,@BBCWorld,Can the ad industry persuade us to eat more vegetables? https://t.co/Jtss2hwwHd,Can the ad industry persuade us to eat more vegetables,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,13,@BBCWorld,5 pop songs you didn't know were about God https://t.co/lL4RlGDqWc,5 pop songs you didn t know were about God,0.2732,0.208,0.0,0.792,0.2732,0.231,0.0,0.769
